Fighter,Date,Win,Weight Class,Gender,Win Difference,Loss Difference,Total Rounds Fought Diff,Height Difference,Reach Difference,Age Difference,Sig. Strike Difference,Sub. Attempt Diff,TD Diff,Weight Difference
Alexander Volkov,2/6/2021,1,Heavyweight,MALE,-27,-13,-57,3,0,-8,1.05,-0.6,-0.74,-15
Frankie Edgar,2/6/2021,0,Bantamweight,MALE,12,7,80,-5,-2,11,-3.18,-0.2,-0.76,0
Manel Kape,2/6/2021,0,Flyweight,MALE,-6,-3,-21,0,1,-3,-4.2,-1.1,-1.08,0
Beneil Dariush,2/6/2021,1,Lightweight,MALE,5,2,15,1,-2,-5,-1.09,0.1,-0.72,0
Clay Guida,2/6/2021,1,Lightweight,MALE,6,3,29,-3,-3,5,-1.82,0.6,-0.13,0
Danilo Marques,2/6/2021,1,Light Heavyweight,MALE,-2,-3,-10,2,-5,3,-4.12,0,0.25,0
Lara Procopio,2/6/2021,1,Women's Flyweight,FEMALE,-3,-1,-11,0,5,-5,5.25,-0.7,-2.01,0
Youssef Zalal,2/6/2021,0,Featherweight,MALE,2,-1,3,-2,-2,-4,-0.65,1.5,-0.27,0
Conor McGregor,1/23/2021,0,Lightweight,MALE,-9,-4,-37,0,2,0,-0.14,-1.3,-0.84,0
Michael Chandler,1/23/2021,1,Lightweight,MALE,-8,-5,-34,-4,-4,4,-0.9,1.2,-0.33,0
Joanne Calderwood,1/23/2021,1,Women's Flyweight,FEMALE,1,-2,-14,0,-1,1,2.52,-0.1,0.17,0
Makhmud Muradov,1/23/2021,1,Middleweight,MALE,-3,-3,-16,1,1,-2,0.4,0.5,-1.91,0
Amanda Ribas,1/23/2021,0,Women's Strawweight,FEMALE,1,-1,-7,-3,1,-6,-0.33,1.7,0.16,10
Antonio Carlos Junior,1/23/2021,0,Middleweight,MALE,-5,-2,-20,1,5,-3,-1.09,0.9,-0.59,0
Sara McMann,1/23/2021,0,Women's Bantamweight,FEMALE,5,3,18,0,-3,9,-0.41,-0.2,-2.1,0
Marcin Prachnio,1/23/2021,1,Light Heavyweight,MALE,-4,-1,-12,2,-2,2,0.25,-0.2,0,0
Movsar Evloev,1/23/2021,1,Catch Weight,MALE,-11,-8,-55,-1,4,-10,0.98,-1.2,-3.08,0
Zhalgas Zhumagulov,1/23/2021,0,Flyweight,MALE,-1,1,2,-1,-2,5,1.85,-3.2,-3.01,0
Neil Magny,1/20/2021,0,Welterweight,MALE,7,2,31,2,5,0,1.89,-0.8,-3.39,0
Mounir Lazzez,1/20/2021,0,Welterweight,MALE,-6,-4,-24,2,4,3,3.52,-1,-0.39,0
Vinicius Moreira,1/20/2021,0,Light Heavyweight,MALE,1,1,2,3,3,-5,-0.35,1.7,0.18,-20
Viviane Araujo,1/20/2021,1,Women's Flyweight,FEMALE,-1,-6,-20,-3,-1,-4,1.63,-0.1,-1.02,0
Tyson Nam,1/20/2021,0,Flyweight,MALE,-2,-1,-2,-1,-2,6,-0.18,-1.6,-0.64,0
Douglas Silva de Andrade,1/20/2021,0,Featherweight,MALE,3,3,15,-2,-5,6,1.37,-1.6,-0.28,0
Tom Breese,1/20/2021,0,Middleweight,MALE,-3,-2,-22,3,0,-4,0.85,0.1,-2.56,0
Gaetano Pirrello,1/20/2021,0,Bantamweight,MALE,-5,-2,-19,1,-2,0,-3.21,-0.2,-6.61,0
Zarrukh Adashev,1/20/2021,0,Flyweight,MALE,-2,0,-5,-3,-7,3,-1.5,-1.3,-0.66,0
Markus Perez,1/20/2021,0,Middleweight,MALE,1,3,7,5,-3,-1,1.04,1,-2.57,0
Jerome Rivera,1/20/2021,0,Flyweight,MALE,1,1,5,4,3,-6,3.79,0,0,0
Mason Jones,1/20/2021,1,Lightweight,MALE,-1,-2,-8,-2,-2,-3,-5.87,0,-0.77,10
Sergey Morozov,1/20/2021,0,Bantamweight,MALE,0,0,0,-2,-2,7,0,0,0,0
Manon Fiorot,1/20/2021,1,Women's Flyweight,FEMALE,-1,0,-2,2,3,0,-4.85,0,-4.65,0
Calvin Kattar,1/16/2021,0,Featherweight,MALE,-11,-4,-49,0,3,3,-1.46,-0.4,0.15,0
Matt Brown,1/16/2021,0,Welterweight,MALE,2,1,-2,-2,0,4,0.12,0.4,-0.08,0
Li Jingliang,1/16/2021,1,Welterweight,MALE,0,2,7,0,-2,-2,0.24,0,-0.15,0
Alessio Di Chirico,1/16/2021,1,Middleweight,MALE,1,4,14,2,-2,5,-1.64,0,-0.21,0
Dusko Todorovic,1/16/2021,0,Middleweight,MALE,0,0,1,2,2,-2,4.05,0,-3.22,0
Joselyne Edwards,1/16/2021,1,Women's Bantamweight,FEMALE,-1,-2,-7,0,4,1,-4.79,-0.4,-0.44,10
Justin Tafa,1/16/2021,0,Heavyweight,MALE,0,0,-4,0,-1,1,-0.21,0,0,19
Ramazan Emeev,1/16/2021,1,Welterweight,MALE,3,-1,8,-2,1,3,-1.09,-2.7,-0.69,0
Vanessa Melo,1/16/2021,1,Women's Bantamweight,FEMALE,-3,-2,-12,-2,-2,0,1.22,-0.9,-0.77,0
Austin Lingo,1/16/2021,1,Featherweight,MALE,0,-1,-1,1,-2,1,0.03,0,1,0
Geoff Neal,12/19/2020,0,Welterweight,MALE,-5,-3,-4,-1,0,-7,0.7,0.2,0.18,0
Marlon Vera,12/19/2020,0,Bantamweight,MALE,-9,0,-3,1,0,-6,0.2,1,-0.2,0
Khaos Williams,12/19/2020,0,Welterweight,MALE,-1,-1,0,-1,4,-1,0.65,-0.5,-1.76,0
Rob Font,12/19/2020,1,Bantamweight,MALE,-3,1,2,-2,-4,-1,-1.83,-0.4,-0.79,0
Greg Hardy,12/19/2020,0,Heavyweight,MALE,-2,-2,-4,2,2,-3,1.13,-0.1,-1.29,16
Alex Morono,12/19/2020,0,Welterweight,MALE,-9,-6,0,1,0,-3,1.91,-0.7,-0.33,15
Pannie Kianzad,12/19/2020,1,Women's Bantamweight,FEMALE,1,2,-2,-3,1,6,-0.62,0.2,0.24,0
Antonio Arroyo,12/19/2020,0,Catch Weight,MALE,0,0,-1,9,3,0,-1.66,0.3,-4.57,0
Taila Santos,12/19/2020,1,Women's Flyweight,FEMALE,3,2,0,-1,-5,-2,-1.47,-0.1,-1.54,0
Jamie Pickett,12/19/2020,0,Middleweight,MALE,-1,3,0,2,3,6,-4.75,0.4,0.4,-20
Cody Durden,12/19/2020,0,Flyweight,MALE,-2,1,0,0,-1,-1,1.12,-6.4,-1.55,0
Carlton Minus,12/19/2020,0,Catch Weight,MALE,-4,-2,1,0,4,-3,0.62,-0.3,-3.11,15
Charles Oliveira,12/12/2020,1,Lightweight,MALE,-3,-5,2,1,2,5,2.24,-1.7,-2.22,0
Virna Jandiroba,12/12/2020,0,Women's Strawweight,FEMALE,-3,1,-1,-1,1,5,-1.35,-0.2,0.25,0
Jacare Souza,12/12/2020,0,Middleweight,MALE,10,6,3,-2,-9,13,-2.21,0.6,-0.8,0
Ciryl Gane,12/12/2020,1,Heavyweight,MALE,11,8,6,0,-4,6,-1.12,-0.6,-0.58,-7
Daniel Pineda,12/12/2020,0,Featherweight,MALE,-13,-5,-1,-1,-1,-2,-1.23,1.3,-0.8,0
Rafael Fiziev,12/12/2020,1,Lightweight,MALE,3,3,0,3,1,4,0.73,0.6,-0.31,0
Billy Quarantillo,12/12/2020,0,Featherweight,MALE,0,0,-2,4,4,-2,2.63,0.3,-2.69,0
Sam Hughes,12/12/2020,0,Women's Strawweight,FEMALE,-8,-4,0,4,4,-3,-0.3,-0.1,-0.68,0
Peter Barrett,12/12/2020,0,Featherweight,MALE,-2,1,-1,-3,-1,13,-0.25,-2.2,-0.1,0
Marvin Vettori,12/5/2020,1,Middleweight,MALE,-3,-1,-1,-1,-3,-5,-0.75,0,-1.72,0
Jamahal Hill,12/5/2020,1,Light Heavyweight,MALE,-17,-10,-61,1,-1,-8,5.26,-0.6,-1.23,0
Justin Jaynes,12/5/2020,0,Lightweight,MALE,-4,-3,-16,-1,-3,-1,0.46,0,-0.18,0
John Allan,12/5/2020,0,Light Heavyweight,MALE,-1,1,4,-1,-1,-5,-0.88,1.9,0.66,0
Jose Quinonez,12/5/2020,0,Bantamweight,MALE,-2,-4,-12,-1,1,1,-0.84,-1.3,-1.16,0
Jordan Leavitt,12/5/2020,1,Lightweight,MALE,-9,-7,-38,-1,3,-12,-2.24,2,-1.14,0
Damon Jackson,12/5/2020,0,Featherweight,MALE,0,1,6,4,2,9,1.33,-2.1,-4.8,0
Jake Collier,12/5/2020,1,Heavyweight,MALE,-7,-7,-37,0,2,-3,-0.17,0.5,-0.26,0
Devin Clark,11/28/2020,0,Light Heavyweight,MALE,-4,-4,-21,-4,-1,-2,0.43,-0.6,-0.05,0
Takashi Sato,11/28/2020,0,Welterweight,MALE,-1,1,-1,-4,-1,2,-0.84,-1.1,-0.04,0
Parker Porter,11/28/2020,1,Heavyweight,MALE,-2,1,-1,-4,-4,4,-0.25,-1.7,1,0
Bill Algeo,11/28/2020,1,Featherweight,MALE,-1,1,2,4,2,4,4.4,0,-2.41,0
Norma Dumont,11/28/2020,1,Women's Bantamweight,FEMALE,-3,-3,-16,-1,0,-3,-3.44,0,-0.97,0
Kai Kamaka,11/28/2020,0,Featherweight,MALE,0,-1,-1,-5,-2,-3,-3.61,0,-3.48,0
Anderson Dos Santos,11/28/2020,1,Bantamweight,MALE,0,-1,-3,-5,-3,3,-2.69,-0.2,-0.5,0
Rachael Ostovich,11/28/2020,0,Women's Flyweight,FEMALE,0,-2,-3,-3,-6,-3,-0.43,1.3,-2.14,0
Malcolm Gordon,11/28/2020,0,Flyweight,MALE,-1,0,-4,-1,-1,6,-4.38,-1.4,-0.68,0
Nate Maness,11/28/2020,1,Catch Weight,MALE,-3,-3,-9,4,5,-5,-4.6,-0.4,0.63,0
Alex Perez,11/21/2020,0,Flyweight,MALE,-1,0,-6,1,-3,-4,1.88,-1.5,-1.21,0
Jennifer Maia,11/21/2020,0,Women's Flyweight,FEMALE,-5,0,-22,-1,-2,0,1.02,-0.2,-1.59,0
Tim Means,11/21/2020,1,Welterweight,MALE,5,3,18,4,4,7,0.56,0.2,-0.24,0
Cynthia Calvillo,11/21/2020,0,Women's Flyweight,FEMALE,-1,-3,-9,-5,-4,2,0.03,0.8,0.16,0
Paul Craig,11/21/2020,1,Light Heavyweight,MALE,-22,-7,-60,2,0,-6,-1.33,0.8,-1.96,0
Brandon Royval,11/21/2020,0,Flyweight,MALE,-3,-2,-19,2,-2,2,0.9,2.7,-0.75,0
Jordan Wright,11/21/2020,0,Middleweight,MALE,0,-1,-3,4,1,3,3.87,0,-0.85,20
Ariane Lipski,11/21/2020,0,Women's Flyweight,FEMALE,-1,0,-3,-2,0,-10,-0.75,-0.1,0.5,0
Nicolas Dalby,11/21/2020,1,Welterweight,MALE,-2,2,7,-2,0,3,-5.29,-0.4,-1.38,0
Jared Gooden,11/21/2020,0,Welterweight,MALE,-7,-5,-24,0,4,-12,-4.85,0,-0.59,0
Dustin Stoltzfus,11/21/2020,0,Middleweight,MALE,0,-1,-5,-3,-1,2,0.28,1.5,-1.5,0
Sasha Palatnikov,11/21/2020,1,Welterweight,MALE,-1,0,-1,4,1,6,-13.33,0,0,0
Rafael Dos Anjos,11/14/2020,1,Lightweight,MALE,9,6,48,-3,0,0,-0.2,0.4,0.14,0
Khaos Williams,11/14/2020,1,Welterweight,MALE,-3,-2,-9,2,4,-9,17.68,0,-0.73,0
Cory McKenna,11/14/2020,1,Women's Strawweight,FEMALE,0,0,0,1,-5,0,0.64,-1.2,-1.41,0
Sean Strickland,11/14/2020,1,Catch Weight,MALE,4,3,21,-1,1,5,1.97,-2,-0.85,0
Miranda Granger,11/14/2020,0,Women's Strawweight,FEMALE,-1,-4,-17,0,-1,-5,0.51,-0.4,-1.14,10
Rhys McKee,11/14/2020,0,Welterweight,MALE,-6,-2,-22,3,6,-5,-4.42,-0.6,0,0
Kanako Murata,11/14/2020,1,Women's Strawweight,FEMALE,-6,-8,-39,-3,-1,-8,-2.92,-0.2,-1.32,0
Tony Gravely,11/14/2020,1,Bantamweight,MALE,0,0,0,-2,-3,0,0.97,1.2,-3.34,0
Roque Martinez,11/14/2020,0,Heavyweight,MALE,-2,-2,-9,-8,-9,6,-3.44,0,0,-10
Glover Teixeira,11/7/2020,1,Light Heavyweight,MALE,4,0,14,0,0,5,-0.7,0.8,-0.45,0
Tanner Boser,11/7/2020,0,Heavyweight,MALE,-17,-16,-71,-1,-2,-12,1,-0.3,-0.5,15
Khalid Taha,11/7/2020,0,Bantamweight,MALE,-3,1,-3,-2,2,-5,-2.15,-0.2,-2.31,0
Yan Xiaonan,11/7/2020,1,Women's Strawweight,FEMALE,-2,-4,-18,1,0,0,3.32,-0.7,-2.38,0
Bevon Lewis,11/7/2020,0,Middleweight,MALE,0,0,-2,3,5,1,0.44,-0.2,-1.47,0
Jamey Simmons,11/7/2020,0,Featherweight,MALE,-4,-1,-15,-7,-9,-4,-3.52,0,-0.4,0
Marcos Rogerio de Lima,11/7/2020,0,Heavyweight,MALE,5,5,15,-1,0,6,-2.09,-2.4,-5.81,-9
Eduardo Garagorri,11/7/2020,0,Featherweight,MALE,-13,-7,-53,-1,-1,-5,0.21,-1.2,-1.43,0
Ramiz Brahimaj,11/7/2020,0,Welterweight,MALE,-3,-6,-25,-1,-3,-7,-3.87,-0.5,-1.9,0
Anthony Birchak,11/7/2020,0,Bantamweight,MALE,2,1,3,3,2,3,3.05,0,0.16,0
Anderson Silva,10/31/2020,0,Middleweight,MALE,23,3,59,2,-2,9,-0.27,0.6,0.02,0
Andre Fili,10/31/2020,0,Featherweight,MALE,5,6,27,1,4,4,1.85,-2.5,-1.64,0
Greg Hardy,10/31/2020,1,Heavyweight,MALE,1,0,4,-2,0,-2,0.17,-0.7,0,7
Charlie Ontiveros,10/31/2020,0,Middleweight,MALE,-7,-2,-24,-1,-3,2,-4.69,-0.8,-0.96,15
Thiago Moises,10/31/2020,1,Lightweight,MALE,-9,-5,-41,-1,-1,-9,-2.45,1.2,-1.25,0
Alexander Hernandez,10/31/2020,1,Lightweight,MALE,0,0,0,1,4,-6,-3.95,0,0.38,0
Victor Rodriguez,10/31/2020,0,Bantamweight,MALE,-1,0,-1,-2,-5,2,-10.77,0,0,0
Jack Marshman,10/31/2020,0,Middleweight,MALE,-4,1,-10,-1,-3,1,-1.7,-0.5,-1.37,15
Jason Witt,10/31/2020,1,Welterweight,MALE,0,0,0,-2,-3,-3,1.73,0,0,0
Justin Ledet,10/31/2020,0,Light Heavyweight,MALE,2,1,5,1,4,0,-0.07,0.2,0.2,0
Kevin Natividad,10/31/2020,0,Bantamweight,MALE,-2,-1,-8,-1,4,1,-3.19,0,-1.64,10
Justin Gaethje,10/24/2020,0,Lightweight,MALE,-7,2,-19,1,0,-1,3.63,-0.7,-5.35,0
Jared Cannonier,10/24/2020,0,Middleweight,MALE,-6,1,-22,-1,4,7,-0.79,0,-0.13,0
Walt Harris,10/24/2020,0,Heavyweight,MALE,1,5,0,-2,-3,5,-1.68,0,-0.39,0
Phillip Hawes,10/24/2020,1,Middleweight,MALE,1,1,3,3,4,6,3.47,0,0.14,0
Liliya Shakirova,10/24/2020,0,Women's Flyweight,FEMALE,-5,-4,-27,-1,-2,-8,-3.88,0,-1.14,0
Ion Cutelaba,10/24/2020,0,Light Heavyweight,MALE,0,3,4,-2,0,-2,1.83,0,0.03,0
Tai Tuivasa,10/24/2020,1,Heavyweight,MALE,-10,-7,-33,-9,-9,-5,0.96,-1.7,-0.58,-1
Casey Kenney,10/24/2020,1,Catch Weight,MALE,1,1,6,1,-1,2,-1.27,-0.5,-1.19,0
Shavkat Rakhmonov,10/24/2020,1,Welterweight,MALE,-11,-6,-42,2,1,-6,-2.89,-0.6,-2.47,0
Miranda Maverick,10/24/2020,1,Women's Flyweight,FEMALE,-1,-1,-4,-1,3,-2,-1.39,-3,-1.98,0
Alexander Yakovlev,10/24/2020,0,Lightweight,MALE,1,4,14,0,-3,10,-1.24,-0.4,0.33,0
Chan Sung Jung,10/17/2020,0,Featherweight,MALE,0,3,4,-1,3,4,0.51,-0.8,-0.1,0
Jessica Andrade,10/17/2020,1,Women's Flyweight,FEMALE,4,3,9,-8,-6,-2,2.21,-0.1,0.26,-10
Modestas Bukauskas,10/17/2020,0,Light Heavyweight,MALE,-3,-1,-6,1,4,2,-0.48,-2.6,-4.63,0
James Krause,10/17/2020,1,Welterweight,MALE,3,6,22,3,2,-4,1.85,-1.1,-3.14,0
Jonathan Martinez,10/17/2020,1,Featherweight,MALE,-2,-1,0,1,0,-3,-1.44,0,0.37,0
Guram Kutateladze,10/17/2020,1,Lightweight,MALE,0,0,0,1,2,-1,0,0,0,0
Poliana Botelho,10/17/2020,0,Women's Flyweight,FEMALE,-2,-1,-4,3,4,6,1.69,-1.2,-2.33,-10
John Phillips,10/17/2020,0,Middleweight,MALE,0,3,5,1,2,6,-4.16,0,-3.04,0
Fares Ziam,10/17/2020,1,Lightweight,MALE,0,0,0,1,1,-3,-1.73,-1,-3,0
Maxim Grishin,10/17/2020,1,Light Heavyweight,MALE,-2,-2,-2,4,8,3,-1.69,-2.8,-8.4,15
Mark Striegl,10/17/2020,0,Bantamweight,MALE,-2,-1,-7,0,0,4,-4.22,0,-0.46,0
Cory Sandhagen,10/10/2020,1,Bantamweight,MALE,0,-1,-3,5,3,-4,3.42,0.1,0.04,0
Makwan Amirkhani,10/10/2020,0,Featherweight,MALE,-8,-7,-41,-1,-3,-3,-2.53,1.5,-0.1,0
Marcin Tybura,10/10/2020,1,Heavyweight,MALE,-9,-2,-17,-1,0,-4,-0.05,-0.2,-0.2,-16
Dricus Du Plessis,10/10/2020,1,Middleweight,MALE,-2,-3,-12,-1,-1,-6,-2.75,-1.1,-1.08,0
Alan Baudot,10/10/2020,0,Heavyweight,MALE,-1,0,-1,-2,-3,3,-13.33,0,0,-51
Ilia Topuria,10/10/2020,1,Featherweight,MALE,-3,0,-9,-3,-5,-1,-3.2,-1.7,-3,0
KB Bhullar,10/10/2020,0,Middleweight,MALE,-4,-2,-10,1,3,-1,-3.55,-0.3,0,0
Rodrigo Nascimento,10/10/2020,0,Heavyweight,MALE,0,0,1,-1,4,-4,-3.84,2.9,1,-4
Joaquin Buckley,10/10/2020,1,Middleweight,MALE,-1,1,0,-1,1,0,-1.78,0,-1.67,0
Tony Kelley,10/10/2020,1,Bantamweight,MALE,0,0,0,3,2,3,4.67,-1,-2,0
Omar Morales,10/10/2020,0,Featherweight,MALE,-1,0,-3,-1,-1,2,0.54,0,0.49,0
Stephanie Egger,10/10/2020,0,Women's Bantamweight,FEMALE,-1,0,-3,2,2,6,-4.83,0,-3,0
Tagir Ulanbekov,10/10/2020,1,Flyweight,MALE,0,-2,-6,2,1,0,-2.32,0,-2.68,0
Irene Aldana,10/3/2020,0,Women's Bantamweight,FEMALE,-1,-2,-16,1,-1,-6,3.41,0,0,0
Carlos Felipe,10/3/2020,1,Heavyweight,MALE,-1,0,-1,0,1,-8,0.74,0,0,-5
Julianna Pena,10/3/2020,0,Women's Bantamweight,FEMALE,-3,-2,-15,-3,-2,-5,0.24,0.7,0.52,0
Cameron Else,10/3/2020,0,Bantamweight,MALE,-1,0,-3,1,-1,8,-6.53,-0.9,-1.9,0
Dusko Todorovic,10/3/2020,1,Middleweight,MALE,0,-3,-9,-2,-5,-8,5.65,0,0,-20
Court McGee,10/3/2020,0,Welterweight,MALE,-4,-2,-12,-3,0,-1,1.3,-0.8,-0.37,0
Nassourdine Imavov,10/3/2020,1,Middleweight,MALE,0,0,0,2,0,-4,-8.05,0,-1.45,0
Jinh Yu Frey,10/3/2020,0,Women's Strawweight,FEMALE,-1,0,-3,2,4,11,-2.98,0,-1,0
Heili Alateng,10/3/2020,0,Bantamweight,MALE,-1,-1,-4,-2,-2,-1,-0.89,-0.8,-1,0
Jessin Ayari,10/3/2020,0,Lightweight,MALE,1,1,7,4,0,4,2.95,-2.1,0,-15
Paulo Costa,9/26/2020,0,Middleweight,MALE,-3,0,-16,-3,-8,-2,4.47,-0.3,0,0
Jan Blachowicz,9/26/2020,1,Light Heavyweight,MALE,3,4,22,-2,1,7,-1.43,0.1,0.28,0
Brandon Royval,9/26/2020,1,Flyweight,MALE,-3,-1,-13,5,-1,1,-3.34,3.6,0.4,0
Sijara Eubanks,9/26/2020,0,Women's Bantamweight,FEMALE,0,1,6,-4,-1,6,1.97,-0.3,-1.55,0
Zubaira Tukhugov,9/26/2020,0,Featherweight,MALE,0,0,1,0,-5,0,-2.7,0,0.56,0
Alex Da Silva,9/26/2020,0,Lightweight,MALE,-1,1,-1,1,2,-4,-3.22,0,-0.43,0
Jake Matthews,9/26/2020,1,Welterweight,MALE,-13,-8,-55,1,1,-12,0.25,-0.2,-1.16,0
Ludovit Klein,9/26/2020,1,Featherweight,MALE,-2,-1,-8,0,-4,-2,-6.1,0,-0.76,10
Aleksa Camur,9/26/2020,0,Light Heavyweight,MALE,1,0,3,3,1,-7,-0.65,0,-3.04,0
Jeff Hughes,9/26/2020,0,Heavyweight,MALE,-1,2,6,-2,-5,-7,-1.77,-8.3,-7.83,0
Danilo Marques,9/26/2020,1,Light Heavyweight,MALE,0,-3,-7,3,0,9,-4.64,0,-1.44,0
Tyron Woodley,9/19/2020,0,Welterweight,MALE,7,3,25,-2,2,6,-1.79,0.2,-4.52,0
Gerald Meerschaert,9/19/2020,0,Middleweight,MALE,4,5,19,-1,2,6,-5.57,-1.5,-4.38,15
Ryan Spann,9/19/2020,0,Light Heavyweight,MALE,1,-2,2,-1,-3,1,-0.69,0.6,-0.13,0
Randa Markos,9/19/2020,0,Women's Strawweight,FEMALE,3,6,30,0,0,8,-0.18,-1.1,-0.15,0
Darren Stewart,9/19/2020,0,Middleweight,MALE,0,2,3,-3,-7,2,-1.68,-0.8,-0.7,15
David Dvorak,9/19/2020,1,Flyweight,MALE,-1,-2,-5,-1,-1,-2,-1.02,-0.3,-1.19,0
Damon Jackson,9/19/2020,1,Featherweight,MALE,-6,-2,-14,3,1,3,0.12,-0.5,-3.12,0
Mara Romero Borella,9/19/2020,0,Women's Flyweight,FEMALE,1,3,10,0,3,5,-2.33,-1.2,0.43,-10
Sarah Alpar,9/19/2020,0,Women's Bantamweight,FEMALE,-2,-2,-12,-1,0,-3,-0.11,1.4,-0.34,10
TJ Laramie,9/19/2020,0,Featherweight,MALE,0,-1,-2,-1,-3,-8,0.9,-3.3,-0.65,0
Randy Costa,9/19/2020,1,Bantamweight,MALE,1,0,-1,4,6,-5,5.24,-1,0,0
Irwin Rivera,9/19/2020,0,Bantamweight,MALE,-2,-1,-9,-2,-8,-1,-1.41,0,0.01,0
Jerome Rivera,9/19/2020,0,Bantamweight,MALE,-1,-2,-7,3,4,-11,0.19,0,0,10
Angela Hill,9/12/2020,0,Women's Strawweight,FEMALE,0,4,9,0,2,1,2.45,-0.9,-1.31,0
Khama Worthy,9/12/2020,0,Lightweight,MALE,1,0,3,3,3,3,-3.17,0.9,0,0
Andrea Lee,9/12/2020,0,Women's Flyweight,FEMALE,0,-5,-14,-1,0,-6,2.36,0.5,-0.91,0
Mike Rodriguez,9/12/2020,0,Light Heavyweight,MALE,-10,-9,-43,3,5,-8,1.26,-1.2,-2.2,0
Kyle Nelson,9/12/2020,0,Featherweight,MALE,-1,2,1,1,1,-2,-4.7,-0.3,-1.18,10
Sijara Eubanks,9/12/2020,1,Women's Bantamweight,FEMALE,1,2,11,-3,-1,3,1.05,0,0.5,0
Kevin Croom,9/12/2020,1,Lightweight,MALE,-4,-2,-13,-3,0,7,-3.02,-1.1,-1.77,0
Roque Martinez,9/12/2020,0,Heavyweight,MALE,0,0,0,-4,-5,5,0,0,0,-12
Alan Patrick,9/12/2020,0,Lightweight,MALE,-6,-5,-32,1,3,3,-3.34,0,-0.93,0
Jalin Turner,9/12/2020,1,Catch Weight,MALE,1,1,4,3,4,-3,1.58,1.2,0.5,0
Anthony Ivy,9/12/2020,0,Welterweight,MALE,-5,-4,-24,2,2,-1,-1.58,-0.3,-0.26,15
Justine Kish,9/12/2020,0,Women's Flyweight,FEMALE,1,1,6,-2,-6,9,-2.16,0.2,-0.98,0
Augusto Sakai,9/5/2020,0,Heavyweight,MALE,-28,-15,-68,-1,-3,-11,1.79,-0.9,-0.9,0
Alonzo Menifield,9/5/2020,0,Light Heavyweight,MALE,-16,-9,-60,-3,-4,-5,1.15,-0.6,-1.27,0
Zelim Imadaev,9/5/2020,0,Welterweight,MALE,-1,0,-2,-1,3,-1,0.65,0,-1.5,0
Ray Rodriguez,9/5/2020,0,Featherweight,MALE,-6,-3,-448,1,5,-2,-3.21,-0.8,-0.7,-10
Bartosz Fabinski,9/5/2020,0,Middleweight,MALE,2,1,7,-1,-3,4,-0.05,-1.4,-2.13,-15
Montana De La Rosa,9/5/2020,0,Women's Flyweight,FEMALE,2,0,3,3,0,-8,-2.21,1.9,-2.24,0
Hunter Azure,9/5/2020,1,Bantamweight,MALE,0,0,-1,-3,2,-3,3.08,0.9,-1.17,10
Aleksandar Rakic,8/29/2020,1,Light Heavyweight,MALE,-6,-6,-31,0,2,-4,1.98,-0.4,-0.17,0
Neil Magny,8/29/2020,1,Welterweight,MALE,-3,-7,-30,4,6,-5,0.38,0.3,-0.27,0
Alexa Grasso,8/29/2020,1,Women's Flyweight,FEMALE,0,1,2,-2,-6,-3,0.76,0.6,0.33,-10
Bill Algeo,8/29/2020,0,Featherweight,MALE,-14,-8,-48,4,2,-7,6.92,-1,-1.63,0
Impa Kasanganay,8/29/2020,1,Middleweight,MALE,-1,-2,-6,1,0,-3,0.58,-0.6,-1.27,0
Hannah Cifers,8/29/2020,0,Women's Strawweight,FEMALE,2,3,10,-3,-1,2,0.12,0.3,-2.53,0
Zak Cummings,8/29/2020,1,Middleweight,MALE,5,1,12,0,1,6,-0.73,0.8,-1.67,0
Austin Springer,8/29/2020,0,Featherweight,MALE,-11,-10,-58,-2,-2,1,-0.68,0.4,-0.11,0
Emily Whitmire,8/29/2020,0,Women's Strawweight,FEMALE,1,-1,-1,0,-4,1,-1.05,-0.7,-0.63,0
Christian Aguilera,8/29/2020,0,Welterweight,MALE,-1,0,-5,-1,0,1,4.64,-0.5,-3,0
Frankie Edgar,8/22/2020,1,Bantamweight,MALE,9,4,63,0,3,5,-1.69,-0.8,-0.61,0
Mike Rodriguez,8/22/2020,1,Light Heavyweight,MALE,1,0,6,1,8,-1,1.91,0,0,0
Shana Dobson,8/22/2020,1,Women's Flyweight,FEMALE,0,3,8,0,1,8,-0.21,-0.8,0.25,0
Dwight Grant,8/22/2020,0,Welterweight,MALE,0,1,2,0,2,2,-5.73,-0.4,-0.94,0
Mizuki Inoue,8/22/2020,0,Women's Strawweight,FEMALE,0,-1,0,-1,0,-7,-0.35,-1.3,-2.59,-10
Joe Solecki,8/22/2020,1,Lightweight,MALE,-1,-2,-8,-1,-1,-2,0.14,0.8,0.01,0
Jordan Wright,8/22/2020,1,Light Heavyweight,MALE,0,-1,-2,1,4,-8,0.25,0,0,-20
Matthew Semelsberger,8/22/2020,1,Welterweight,MALE,0,0,0,3,-1,0,0,0,0,0
Trevin Jones,8/22/2020,1,Catch Weight,MALE,0,0,0,1,3,0,0,0,0,-5
Daniel Cormier,8/15/2020,0,Heavyweight,MALE,6,-1,19,-5,-8,4,-0.7,0.5,-1.76,-5
Marlon Vera,8/15/2020,1,Bantamweight,MALE,5,5,26,-3,-2,2,-3.16,0.1,-0.76,10
Jairzinho Rozenstruik,8/15/2020,1,Heavyweight,MALE,-11,-5,-44,0,1,-4,-0.82,-0.1,-0.33,4
Merab Dvalishvili,8/15/2020,1,Bantamweight,MALE,-6,-4,-28,3,2,-6,0.71,0.3,-0.26,0
